order_id,date,customer_id,product_category,product_name,quantity,unit_price,total_revenue,region,customer_segment,discount_pct,is_returned
ORD-00028,2023-01-30,CUST-0149,Clothing,Baseball Cap,4.0,34.53,138.12,North,Budget,0.0,0
ORD-00281,2023-01-30,CUST-0010,Clothing,Merino Wool Sweater,2.0,30.46,60.92,North,Budget,0.0,0
ORD-00176,2023-01-31,CUST-0021,Sports,Gym Gloves,4.0,19.52,78.08,East,Standard,0.0,0
ORD-00287,2023-02-03,CUST-0095,Clothing,Performance Tee,4.0,72.43,289.72,North,Standard,0.0,0
ORD-00292,2023-02-04,CUST-0023,Home & Garden,Throw Pillow Cover,4.0,,106.48,Central,Standard,0.0,0
ORD-00424,2023-02-04,CUST-0040,Clothing,Running Shoes,3.0,46.95,115.92,Central,Standard,17.7,0
ORD-00273,2023-02-05,CUST-0048,Clothing,Compression Socks,3.0,57.07,171.21,East,Premium,0.0,0
ORD-00271,2023-02-06,CUST-0009,Books,SQL Cookbook,5.0,19.4,97.0,Central,Standard,0.0,0
ORD-00449,2023-02-06,CUST-0112,Home & Garden,Plant Pot Ceramic,5.0,52.49,192.64,North,Budget,26.6,0
ORD-00429,2023-02-07,CUST-0047,Sports,Ankle Weights,5.0,20.58,102.9,West,Standard,0.0,0
ORD-00075,2023-02-08,CUST-0106,Books,Deep Work,4.0,,74.8,South,Budget,0.0,0
ORD-00018,2023-02-11,CUST-0078,Sports,Water Bottle 32oz,1.0,43.11,30.74,West,Standard,28.7,0
ORD-00259,2023-02-13,CUST-0001,Home & Garden,Wall Clock Modern,1.0,48.96,43.18,West,Standard,11.8,0
ORD-00140,2023-02-22,CUST-0109,Sports,Jump Rope Speed,2.0,24.94,47.19,East,Standard,5.4,0
ORD-00123,2023-02-23,CUST-0146,Sports,Jump Rope Speed,5.0,21.91,87.75,Central,Standard,19.9,0
ORD-00339,2023-02-23,CUST-0024,Books,Clean Code,1.0,13.49,13.49,East,Premium,0.0,0
ORD-00364,2023-02-25,CUST-0045,Electronics,SSD External 1TB,3.0,70.84,212.52,North,Standard,0.0,0
ORD-00098,2023-02-25,CUST-0056,Sports,Foam Roller,2.0,25.69,45.63,North,Premium,11.2,0
ORD-00086,2023-02-26,CUST-0055,Sports,Foam Roller,4.0,28.13,112.52,East,Premium,0.0,0
ORD-00413,2023-02-27,CUST-0120,Sports,Water Bottle 32oz,2.0,36.1,67.87,West,Budget,6.0,0
ORD-00455,2023-02-27,CUST-0131,Clothing,Fleece Hoodie,1.0,27.88,27.88,Central,Budget,0.0,0
ORD-00188,2023-03-01,CUST-0137,Books,Atomic Habits,1.0,16.78,16.78,Central,Standard,0.0,0
ORD-00005,2023-03-01,CUST-0037,Home & Garden,Kitchen Scale Digital,4.0,9.34,27.2,West,Budget,27.2,0
ORD-00350,2023-03-01,CUST-0138,Electronics,Phone Stand,4.0,63.75,255.0,Central,Budget,0.0,0
ORD-00337,2023-03-01,CUST-0082,Electronics,Webcam HD,5.0,52.75,263.75,South,Standard,0.0,0
ORD-00109,2023-03-02,CUST-0076,Books,The Data Warehouse Toolkit,5.0,15.82,65.34,West,Standard,17.4,0
ORD-00294,2023-03-03,CUST-0002,Clothing,Chino Pants,5.0,35.66,178.3,East,Standard,0.0,0
ORD-00290,2023-03-05,CUST-0050,Home & Garden,Air Purifier,4.0,43.92,135.27,West,Standard,23.0,0
ORD-00129,2023-03-06,CUST-0042,Home & Garden,Wall Clock Modern,5.0,38.58,192.9,East,Standard,0.0,1
ORD-00409,2023-03-07,CUST-0009,Books,The Phoenix Project,3.0,16.81,35.5,South,Standard,29.6,0
ORD-00258,2023-03-07,CUST-0128,Sports,Resistance Bands Set,4.0,16.99,53.14,West,Premium,21.8,0
ORD-00230,2023-03-07,CUST-0036,Electronics,SSD External 1TB,2.0,87.94,175.88,South,Standard,0.0,0
ORD-00161,2023-03-08,CUST-0011,Electronics,Wireless Earbuds,5.0,144.74,723.7,North,Standard,0.0,0
ORD-00240,2023-03-09,CUST-0024,Electronics,Laptop Pro 15,5.0,53.17,265.85,West,Premium,0.0,0
ORD-00155,2023-03-09,CUST-0106,Home & Garden,French Press Coffee Maker,4.0,19.09,55.21,East,Standard,27.7,0
ORD-00404,2023-03-10,CUST-0032,Clothing,Slim Fit Jeans,2.0,54.34,108.68,South,Budget,0.0,0
ORD-00060,2023-03-12,CUST-0033,Sports,Water Bottle 32oz,5.0,13.35,66.75,West,Premium,0.0,0
ORD-00269,2023-03-12,CUST-0003,Home & Garden,Air Purifier,2.0,58.09,116.18,West,Premium,0.0,0
ORD-00363,2023-03-13,CUST-0088,Home & Garden,French Press Coffee Maker,3.0,32.54,97.62,West,Standard,0.0,0
ORD-00099,2023-03-14,CUST-0144,Books,SQL Cookbook,4.0,10.21,40.84,North,Standard,0.0,0
ORD-00389,2023-03-14,CUST-0005,Books,The Pragmatic Programmer,4.0,23.0,92.0,Central,Standard,0.0,0
ORD-00473,2023-03-14,CUST-0003,Electronics,Phone Stand,5.0,69.31,315.71,West,Standard,8.9,0
ORD-00362,2023-03-14,CUST-0076,Clothing,Baseball Cap,4.0,58.29,233.16,South,Standard,0.0,0
ORD-00392,2023-03-16,CUST-0136,Sports,Gym Gloves,4.0,9.93,39.72,East,Budget,0.0,0
ORD-00209,2023-03-16,CUST-0026,Clothing,Winter Jacket,5.0,,48.7,West,Standard,0.0,0
ORD-00193,2023-03-16,CUST-0008,Books,The Phoenix Project,3.0,13.16,28.47,North,Premium,27.9,0
ORD-00437,2023-03-17,CUST-0132,Electronics,4K Monitor,2.0,118.62,196.2,North,Standard,17.3,0
ORD-00218,2023-03-17,CUST-0003,Home & Garden,Throw Pillow Cover,4.0,35.41,141.64,East,Standard,0.0,0
ORD-00009,2023-03-19,CUST-0033,Sports,Protein Shaker,3.0,26.14,78.42,South,Budget,0.0,0
ORD-00217,2023-03-20,CUST-0043,Clothing,Merino Wool Sweater,5.0,78.61,393.05,North,Standard,0.0,0
ORD-00037,2023-03-20,CUST-0038,Clothing,Fleece Hoodie,1.0,23.2,23.2,North,Premium,0.0,0
ORD-00335,2023-03-21,CUST-0074,Books,Python for Data Analysis,1.0,22.15,22.15,Central,Premium,0.0,0
ORD-00207,2023-03-21,CUST-0090,Home & Garden,LED String Lights,3.0,6.36,16.26,South,Standard,14.8,0
ORD-00302,2023-03-22,CUST-0014,Home & Garden,Bamboo Cutting Board,2.0,74.68,139.8,South,Standard,6.4,0
ORD-00474,2023-03-22,CUST-0124,Home & Garden,Vacuum Storage Bags,5.0,130.67,653.35,North,Premium,0.0,0
ORD-00341,2023-03-24,CUST-0001,Electronics,Webcam HD,1.0,127.55,127.55,North,Standard,0.0,0
ORD-00231,2023-03-25,CUST-0014,Electronics,SSD External 1TB,4.0,39.91,121.33,North,Standard,24.0,0
ORD-00310,2023-03-25,CUST-0148,Books,The Data Warehouse Toolkit,5.0,18.02,90.1,North,Standard,0.0,0
ORD-00153,2023-03-25,CUST-0063,Electronics,Wireless Earbuds,2.0,33.86,67.72,South,Standard,0.0,0
ORD-00059,2023-03-25,CUST-0047,Home & Garden,Scented Candle Set,3.0,33.56,89.3,North,Standard,11.3,0
ORD-00050,2023-03-25,CUST-0026,Electronics,Phone Stand,1.0,297.96,219.0,South,Standard,26.5,0
ORD-00417,2023-03-26,CUST-0002,Home & Garden,Plant Pot Ceramic,1.0,38.11,38.11,West,Budget,0.0,0
ORD-00128,2023-03-27,CUST-0002,Sports,Workout Timer,1.0,32.76,27.52,South,Standard,16.0,0
ORD-00264,2023-03-27,CUST-0004,Books,Clean Code,4.0,16.93,58.71,East,Premium,13.3,0
ORD-00462,2023-03-27,CUST-0026,Home & Garden,LED String Lights,5.0,23.5,117.5,East,Standard,0.0,0
ORD-00204,2023-03-27,CUST-0112,Sports,Resistance Bands Set,5.0,16.61,77.15,North,Standard,7.1,0
ORD-00261,2023-03-28,CUST-0071,Electronics,Mechanical Keyboard,2.0,84.6,149.23,South,Standard,11.8,0
ORD-00469,2023-03-29,CUST-0042,Sports,Gym Gloves,1.0,25.17,20.41,South,Standard,18.9,0
ORD-00376,2023-03-29,CUST-0115,Electronics,Webcam HD,3.0,40.14,120.42,West,Premium,0.0,0
ORD-00091,2023-03-31,CUST-0127,Electronics,USB-C Hub,2.0,81.15,135.52,East,Standard,16.5,0
ORD-00195,2023-03-31,CUST-0122,Books,Designing Data-Intensive Applications,4.0,25.06,100.24,East,Standard,0.0,1
ORD-00029,2023-04-01,CUST-0085,Sports,Water Bottle 32oz,94.0,,3643.44,Central,Standard,0.0,0
ORD-00442,2023-04-01,CUST-0104,Electronics,Laptop Pro 15,1.0,69.75,69.75,Central,Standard,0.0,0
ORD-00268,2023-04-01,CUST-0001,Books,The Phoenix Project,3.0,12.16,36.48,East,Premium,0.0,0
ORD-00375,2023-04-03,CUST-0073,Books,The Phoenix Project,2.0,20.41,40.82,East,Standard,0.0,0
ORD-00089,2023-04-04,CUST-0006,Home & Garden,Bamboo Cutting Board,2.0,30.1,42.5,West,Standard,29.4,0
ORD-00266,2023-04-06,CUST-0001,Sports,Protein Shaker,1.0,25.85,22.41,East,Premium,13.3,0
ORD-00175,2023-04-06,CUST-0049,Home & Garden,LED String Lights,1.0,85.91,67.44,Central,Budget,21.5,0
ORD-00084,2023-04-07,CUST-0022,Sports,Water Bottle 32oz,1.0,10.71,10.71,West,Premium,0.0,0
ORD-00352,2023-04-09,CUST-0006,Sports,Workout Timer,3.0,18.15,54.45,East,Budget,0.0,0
ORD-00131,2023-04-09,CUST-0126,Books,Thinking in Systems,1.0,16.82,12.26,South,Budget,27.1,0
ORD-00454,2023-04-10,CUST-0005,Books,Thinking in Systems,2.0,15.54,31.08,Central,Standard,0.0,0
ORD-00272,2023-04-11,CUST-0045,Clothing,Winter Jacket,2.0,98.25,164.27,East,Standard,16.4,0
ORD-00115,2023-04-12,CUST-0012,Books,Thinking in Systems,4.0,22.89,91.56,West,Standard,0.0,0
ORD-00196,2023-04-13,CUST-0038,Electronics,Wireless Earbuds,3.0,137.28,291.99,Central,Standard,29.1,0
ORD-00282,2023-04-14,CUST-0125,Clothing,Baseball Cap,1.0,29.87,23.24,East,Budget,22.2,0
ORD-00456,2023-04-15,CUST-0116,Electronics,SSD External 1TB,5.0,223.81,1119.05,West,Standard,0.0,0
ORD-00036,2023-04-18,CUST-0007,Home & Garden,LED String Lights,5.0,49.6,200.14,South,Standard,19.3,0
ORD-00444,2023-04-19,CUST-0023,Electronics,4K Monitor,2.0,86.1,172.2,North,Standard,0.0,0
ORD-00026,2023-04-20,CUST-0018,Clothing,Compression Socks,5.0,40.16,166.86,North,Standard,16.9,0
ORD-00199,2023-04-21,CUST-0059,Clothing,Slim Fit Jeans,5.0,25.02,104.33,East,Budget,16.6,0
ORD-00051,2023-04-22,CUST-0030,Home & Garden,Vacuum Storage Bags,5.0,142.68,570.01,East,Budget,20.1,0
ORD-00419,2023-04-22,CUST-0013,Books,Python for Data Analysis,5.0,19.26,82.72,Central,Standard,14.1,0
ORD-00213,2023-04-22,CUST-0096,Home & Garden,Scented Candle Set,1.0,15.18,15.18,Central,Standard,0.0,0
ORD-00436,2023-04-23,CUST-0007,Books,The Phoenix Project,2.0,40.9,81.8,North,Standard,0.0,1
ORD-00112,2023-04-23,CUST-0060,Clothing,Baseball Cap,2.0,56.94,113.88,South,Budget,0.0,0
ORD-00332,2023-04-23,CUST-0042,Home & Garden,Vacuum Storage Bags,4.0,20.16,80.64,South,Budget,0.0,0
ORD-00071,2023-04-29,CUST-0016,Books,Atomic Habits,3.0,19.36,45.94,South,Budget,20.9,0
ORD-00482,2023-04-30,CUST-0097,Electronics,4K Monitor,2.0,367.84,735.68,South,Standard,0.0,0
ORD-00016,2023-05-04,CUST-0005,Electronics,Mechanical Keyboard,3.0,56.61,149.45,West,Standard,12.0,0
ORD-00488,2023-05-04,CUST-0001,Clothing,Slim Fit Jeans,1.0,48.74,38.41,East,Standard,21.2,0
ORD-00039,2023-05-04,CUST-0005,Clothing,Chino Pants,1.0,30.35,30.35,South,Standard,0.0,0
ORD-00163,2023-05-06,CUST-0006,Sports,Resistance Bands Set,3.0,27.6,82.8,Central,Standard,0.0,0
ORD-00206,2023-05-06,CUST-0043,Electronics,Smart Speaker,1.0,132.46,132.46,North,Standard,0.0,0
ORD-00243,2023-05-07,CUST-0108,Clothing,Fleece Hoodie,3.0,121.57,364.71,West,Standard,0.0,0
ORD-00313,2023-05-07,CUST-0148,Home & Garden,LED String Lights,1.0,48.71,42.57,East,Premium,12.6,0
ORD-00074,2023-05-07,CUST-0084,Books,Designing Data-Intensive Applications,2.0,23.17,46.34,North,Budget,0.0,0
ORD-00283,2023-05-09,CUST-0028,Clothing,Slim Fit Jeans,3.0,22.64,48.49,East,Budget,28.6,0
ORD-00255,2023-05-09,CUST-0065,Electronics,4K Monitor,1.0,57.49,45.53,North,Standard,20.8,0
ORD-00427,2023-05-09,CUST-0005,Electronics,Mechanical Keyboard,4.0,112.94,451.76,East,Standard,0.0,0
ORD-00192,2023-05-10,CUST-0118,Clothing,Compression Socks,2.0,35.7,71.4,West,Premium,0.0,0
ORD-00416,2023-05-10,CUST-0135,Sports,Jump Rope Speed,2.0,16.37,24.0,West,Standard,26.7,0
ORD-00254,2023-05-13,CUST-0031,Home & Garden,Scented Candle Set,1.0,40.39,40.39,West,Premium,0.0,0
ORD-00284,2023-05-14,CUST-0050,Home & Garden,French Press Coffee Maker,1.0,46.27,39.01,North,Standard,15.7,0
ORD-00348,2023-05-16,CUST-0065,Clothing,Performance Tee,5.0,53.69,232.75,West,Budget,13.3,0
ORD-00173,2023-05-17,CUST-0150,Clothing,Winter Jacket,5.0,,99.15,South,Budget,0.0,0
ORD-00190,2023-05-19,CUST-0040,Home & Garden,Vacuum Storage Bags,5.0,14.43,52.74,North,Standard,26.9,0
ORD-00309,2023-05-21,CUST-0035,Electronics,Laptop Pro 15,5.0,100.64,380.42,West,Premium,24.4,0
ORD-00103,2023-05-21,CUST-0120,Sports,Yoga Mat Premium,2.0,39.66,62.5,Central,Standard,21.2,0
ORD-00146,2023-05-21,CUST-0107,Clothing,Canvas Backpack,3.0,38.49,115.47,South,Standard,0.0,0
ORD-00445,2023-05-23,CUST-0028,Electronics,LED Desk Lamp,5.0,150.21,751.05,South,Standard,0.0,0
ORD-00372,2023-05-23,CUST-0001,Books,The Pragmatic Programmer,2.0,9.52,19.04,North,Standard,0.0,0
ORD-00108,2023-05-23,CUST-0003,Clothing,Running Shoes,5.0,48.67,193.71,North,Standard,20.4,0
ORD-00475,2023-05-26,CUST-0015,Home & Garden,Bamboo Cutting Board,5.0,42.13,210.65,East,Standard,0.0,0
ORD-00157,2023-05-27,CUST-0106,Electronics,Phone Stand,1.0,184.36,184.36,South,Budget,0.0,0
ORD-00076,2023-05-27,CUST-0035,Clothing,Baseball Cap,2.0,13.22,26.44,North,Standard,0.0,0
ORD-00407,2023-05-28,CUST-0034,Books,Thinking in Systems,5.0,19.29,74.46,West,Standard,22.8,0
ORD-00267,2023-05-29,CUST-0006,Electronics,Phone Stand,5.0,295.19,1475.95,East,Premium,0.0,0
ORD-00225,2023-05-29,CUST-0003,Electronics,Smart Speaker,2.0,67.86,135.72,Central,Standard,0.0,0
ORD-00048,2023-05-30,CUST-0002,Sports,Ankle Weights,3.0,42.5,127.5,West,Premium,0.0,0
ORD-00330,2023-05-30,CUST-0010,Electronics,LED Desk Lamp,1.0,65.12,58.87,East,Budget,9.6,0
ORD-00171,2023-05-31,CUST-0004,Clothing,Compression Socks,3.0,110.44,305.48,East,Premium,7.8,0
ORD-00077,2023-06-01,CUST-0122,Home & Garden,Air Purifier,4.0,20.29,81.16,North,Standard,0.0,0
ORD-00398,2023-06-02,CUST-0007,Books,The Data Warehouse Toolkit,3.0,16.71,40.05,North,Premium,20.1,0
ORD-00319,2023-06-02,CUST-0054,Sports,Water Bottle 32oz,2.0,11.75,17.46,North,Standard,25.7,0
ORD-00464,2023-06-04,CUST-0003,Clothing,Merino Wool Sweater,1.0,29.21,29.21,West,Standard,0.0,0
ORD-00221,2023-06-04,CUST-0036,Electronics,Smart Speaker,5.0,44.17,220.85,Central,Premium,0.0,0
ORD-00401,2023-06-04,CUST-0030,Clothing,Fleece Hoodie,4.0,26.48,105.92,North,Budget,0.0,0
ORD-00095,2023-06-04,CUST-0001,Home & Garden,LED String Lights,5.0,47.73,238.65,South,Standard,0.0,0
ORD-00068,2023-06-05,CUST-0001,Sports,Ankle Weights,5.0,42.94,214.7,West,Standard,0.0,0
ORD-00113,2023-06-06,CUST-0141,Home & Garden,French Press Coffee Maker,1.0,31.3,28.04,North,Budget,10.4,0
ORD-00476,2023-06-06,CUST-0051,Home & Garden,Bamboo Cutting Board,5.0,11.97,59.85,East,Standard,0.0,0
ORD-00200,2023-06-08,CUST-0013,Sports,Water Bottle 32oz,3.0,24.93,70.15,South,Budget,6.2,0
ORD-00263,2023-06-08,CUST-0001,Clothing,Baseball Cap,2.0,66.57,133.14,East,Budget,0.0,0
ORD-00374,2023-06-09,CUST-0020,Sports,Gym Gloves,3.0,30.07,90.21,West,Premium,0.0,0
ORD-00044,2023-06-09,CUST-0147,Home & Garden,Wall Clock Modern,5.0,23.0,115.0,East,Standard,0.0,0
ORD-00169,2023-06-10,CUST-0013,Sports,Pull-up Bar,4.0,9.83,39.32,North,Premium,0.0,0
ORD-00484,2023-06-10,CUST-0030,Electronics,4K Monitor,5.0,149.65,748.25,West,Standard,0.0,0
ORD-00494,2023-06-10,CUST-0007,Sports,Ankle Weights,5.0,18.73,93.65,South,Budget,0.0,0
ORD-00184,2023-06-10,CUST-0028,Electronics,Laptop Pro 15,1.0,184.41,154.35,West,Standard,16.3,0
ORD-00277,2023-06-11,CUST-0053,Electronics,Laptop Pro 15,1.0,75.46,75.46,West,Standard,0.0,0
ORD-00033,2023-06-14,CUST-0021,Home & Garden,Wall Clock Modern,3.0,39.13,117.39,Central,Standard,0.0,0
ORD-00316,2023-06-14,CUST-0118,Sports,Pull-up Bar,3.0,26.18,78.54,South,Budget,0.0,0
ORD-00127,2023-06-15,CUST-0090,Home & Garden,Vacuum Storage Bags,5.0,46.94,234.7,South,Standard,0.0,0
ORD-00323,2023-06-15,CUST-0012,Electronics,Phone Stand,1.0,64.41,50.88,North,Standard,21.0,0
ORD-00147,2023-06-16,CUST-0001,Sports,Protein Shaker,5.0,34.33,171.65,East,Standard,0.0,0
ORD-00369,2023-06-17,CUST-0003,Electronics,Mechanical Keyboard,3.0,36.59,109.77,West,Standard,0.0,0
ORD-00134,2023-06-22,CUST-0019,Sports,Yoga Mat Premium,1.0,18.29,18.29,West,Standard,0.0,0
ORD-00022,2023-06-25,CUST-0019,Sports,Resistance Bands Set,3.0,25.45,65.05,East,Standard,14.8,0
ORD-00499,2023-06-27,CUST-0148,Clothing,Performance Tee,3.0,38.58,108.1,South,Standard,6.6,0
ORD-00097,2023-06-27,CUST-0070,Electronics,Wireless Earbuds,1.0,67.58,67.58,West,Premium,0.0,1
ORD-00373,2023-06-28,CUST-0144,Clothing,Running Shoes,4.0,28.29,113.16,West,Standard,0.0,0
ORD-00314,2023-06-29,CUST-0047,Electronics,4K Monitor,3.0,90.95,247.47,Central,Standard,9.3,0
ORD-00315,2023-06-29,CUST-0003,Electronics,Mechanical Keyboard,5.0,51.78,181.49,North,Standard,29.9,0
ORD-00034,2023-06-30,CUST-0057,Books,SQL Cookbook,5.0,16.17,80.85,East,Premium,0.0,0
ORD-00011,2023-07-01,CUST-0002,Home & Garden,Scented Candle Set,5.0,26.65,133.25,South,Budget,0.0,0
ORD-00166,2023-07-01,CUST-0073,Books,Atomic Habits,1.0,15.11,15.11,North,Premium,0.0,0
ORD-00249,2023-07-02,CUST-0087,Books,SQL Cookbook,1.0,13.37,13.37,Central,Budget,0.0,0
ORD-00187,2023-07-02,CUST-0024,Clothing,Baseball Cap,5.0,15.21,76.05,West,Budget,0.0,0
ORD-00288,2023-07-02,CUST-0014,Clothing,Chino Pants,3.0,46.71,129.62,West,Premium,7.5,0
ORD-00385,2023-07-03,CUST-0006,Books,Designing Data-Intensive Applications,4.0,21.95,87.8,West,Budget,0.0,0
ORD-00317,2023-07-04,CUST-0113,Home & Garden,Plant Pot Ceramic,2.0,35.1,70.2,East,Budget,0.0,0
ORD-00094,2023-07-04,CUST-0049,Clothing,Chino Pants,3.0,43.82,131.46,South,Standard,0.0,0
ORD-00379,2023-07-05,CUST-0051,Home & Garden,Vacuum Storage Bags,1.0,58.34,58.34,South,Standard,0.0,0
ORD-00307,2023-07-06,CUST-0067,Home & Garden,Bamboo Cutting Board,3.0,36.38,109.14,Central,Standard,0.0,0
ORD-00047,2023-07-07,CUST-0021,Electronics,Phone Stand,3.0,60.59,181.77,North,Standard,0.0,0
ORD-00276,2023-07-09,CUST-0106,Clothing,Slim Fit Jeans,3.0,45.4,122.85,East,Premium,9.8,0
ORD-00220,2023-07-10,CUST-0136,Electronics,Mechanical Keyboard,2.0,59.85,119.7,Central,Budget,0.0,0
ORD-00082,2023-07-13,CUST-0039,Books,Clean Code,1.0,19.89,15.1,East,Standard,24.1,0
ORD-00471,2023-07-13,CUST-0010,Books,The Pragmatic Programmer,1.0,21.16,21.16,South,Standard,0.0,0
ORD-00481,2023-07-14,CUST-0147,Clothing,Baseball Cap,4.0,35.37,101.72,West,Premium,28.1,0
ORD-00072,2023-07-14,CUST-0103,Home & Garden,Throw Pillow Cover,4.0,18.67,74.68,North,Budget,0.0,0
ORD-00480,2023-07-15,CUST-0006,Home & Garden,Kitchen Scale Digital,3.0,34.02,77.57,Central,Premium,24.0,0
ORD-00248,2023-07-16,CUST-0025,Electronics,Laptop Pro 15,5.0,104.66,403.99,West,Standard,22.8,0
ORD-00286,2023-07-17,CUST-0018,Books,Atomic Habits,3.0,19.48,42.37,West,Premium,27.5,1
ORD-00124,2023-07-17,CUST-0030,Electronics,Smart Speaker,3.0,151.88,455.64,South,Standard,0.0,0
ORD-00312,2023-07-17,CUST-0001,Books,Atomic Habits,3.0,21.64,64.92,West,Standard,0.0,0
ORD-00486,2023-07-18,CUST-0125,Electronics,Laptop Pro 15,3.0,44.73,96.75,East,Budget,27.9,0
ORD-00232,2023-07-18,CUST-0001,Home & Garden,Bamboo Cutting Board,2.0,24.38,48.76,East,Premium,0.0,0
ORD-00366,2023-07-18,CUST-0120,Home & Garden,Kitchen Scale Digital,4.0,11.17,44.68,East,Premium,0.0,0
ORD-00250,2023-07-20,CUST-0103,Books,Thinking in Systems,2.0,23.87,37.52,Central,Budget,21.4,0
ORD-00477,2023-07-21,CUST-0030,Clothing,Canvas Backpack,4.0,27.08,108.32,North,Budget,0.0,0
ORD-00119,2023-07-22,CUST-0003,Clothing,Merino Wool Sweater,2.0,62.61,125.22,East,Premium,0.0,0
ORD-00497,2023-07-22,CUST-0057,Books,SQL Cookbook,5.0,21.79,108.95,North,Budget,0.0,0
ORD-00177,2023-07-23,CUST-0124,Clothing,Compression Socks,1.0,47.03,35.51,North,Budget,24.5,0
ORD-00041,2023-07-24,CUST-0147,Electronics,USB-C Hub,4.0,112.13,448.52,Central,Standard,0.0,0
ORD-00378,2023-07-24,CUST-0014,Books,Deep Work,3.0,24.7,74.1,West,Budget,0.0,0
ORD-00070,2023-07-24,CUST-0040,Clothing,Merino Wool Sweater,4.0,22.8,91.2,East,Premium,0.0,0
ORD-00149,2023-07-25,CUST-0064,Home & Garden,LED String Lights,1.0,24.16,24.16,East,Budget,0.0,0
ORD-00002,2023-07-25,CUST-0115,Clothing,Compression Socks,4.0,74.62,298.48,North,Budget,0.0,0
ORD-00400,2023-07-26,CUST-0037,Clothing,Baseball Cap,4.0,90.06,253.25,South,Budget,29.7,0
ORD-00015,2023-07-26,CUST-0016,Clothing,Winter Jacket,3.0,22.22,66.66,West,Budget,0.0,0
ORD-00093,2023-07-27,CUST-0013,Clothing,Baseball Cap,2.0,35.82,56.52,Central,Premium,21.1,0
ORD-00107,2023-07-28,CUST-0110,Electronics,SSD External 1TB,4.0,89.57,270.14,South,Standard,24.6,1
ORD-00010,2023-07-29,CUST-0003,Clothing,Fleece Hoodie,5.0,33.39,166.95,North,Budget,0.0,0
ORD-00396,2023-07-30,CUST-0114,Electronics,Phone Stand,4.0,54.62,203.4,South,Standard,6.9,0
ORD-00253,2023-07-30,CUST-0009,Electronics,Wireless Earbuds,3.0,59.73,179.19,East,Standard,0.0,0
ORD-00111,2023-07-30,CUST-0042,Electronics,Webcam HD,2.0,172.92,315.41,North,Standard,8.8,0
ORD-00458,2023-07-31,CUST-0037,Clothing,Merino Wool Sweater,2.0,60.49,120.98,East,Premium,0.0,0
ORD-00399,2023-07-31,CUST-0006,Home & Garden,French Press Coffee Maker,1.0,26.92,26.92,North,Budget,0.0,0
ORD-00057,2023-08-01,CUST-0012,Books,Clean Code,4.0,13.23,52.92,South,Premium,0.0,0
ORD-00306,2023-08-02,CUST-0004,Books,The Pragmatic Programmer,5.0,22.15,110.75,Central,Premium,0.0,0
ORD-00088,2023-08-02,CUST-0016,Sports,Resistance Bands Set,5.0,9.72,37.08,Central,Standard,23.7,0
ORD-00237,2023-08-03,CUST-0007,Electronics,USB-C Hub,1.0,19.57,19.57,Central,Standard,0.0,0
ORD-00355,2023-08-03,CUST-0007,Books,The Data Warehouse Toolkit,5.0,30.47,152.35,Central,Standard,0.0,0
ORD-00027,2023-08-03,CUST-0137,Books,SQL Cookbook,3.0,11.79,35.37,North,Premium,0.0,0
